Instance ID, Best solution, Time (s)
0, 8.096167951453783, 30.2701817
1, 6.43507341493266, 5.2398641
2, 7.867712715327797, 11.880776
3, 7.859646016930439, 17.0936131
4, 7.933524220556587, 14.9676023
5, 6.2985540082087885, 4.8730294
6, 10.536126540534434, 156.3133892
7, 10.382237532091551, 278.1232025
8, 6.67521004965114, 9.4534754
9, 7.9188326901976795, 10.5193874
10, 10.428380630284762, 163.6137774
Instance ID, Best solution, Time (s)
0, 8.096167951453783, 31.233526
1, 6.43507341493266, 4.7121834
2, 7.867712715327797, 13.1258202
3, 7.859646016930439, 18.3559487
4, 7.933524220556587, 14.961536
5, 6.2985540082087885, 5.6079305
6, 10.536126540534434, 159.2623141
7, 10.382237532091551, 281.1050436
8, 6.67521004965114, 8.4599047
9, 7.9188326901976795, 10.9884059
10, 10.428380630284762, 168.5091943
Instance ID, Best solution, Time (s)
0, 8.096167951453783, 31.6269515
1, 6.43507341493266, 4.7102311
2, 7.867712715327797, 11.9883911
3, 7.859646016930439, 18.8133827
4, 7.933524220556587, 14.8019022
5, 6.2985540082087885, 6.1088651
6, 10.536126540534434, 162.2112066
7, 10.382237532091551, 286.5637627
8, 6.67521004965114, 10.1213762
9, 7.9188326901976795, 9.832557
10, 10.428380630284762, 171.8908132
Instance ID, Best solution, Time (s)
0, 8.096167951453783, 32.5216569
1, 6.43507341493266, 5.5947052
2, 7.867712715327797, 13.2942048
3, 7.859646016930439, 18.4665232
4, 7.933524220556587, 15.4247819
5, 6.2985540082087885, 6.1975341
6, 10.536126540534434, 165.0577237
7, 10.382237532091551, 286.1488822
8, 6.67521004965114, 8.6076164
9, 7.9188326901976795, 9.9017476
10, 10.428380630284762, 169.647757
Instance ID, Best solution, Time (s)
0, 8.096167951453783, 28.9020827
1, 6.43507341493266, 5.3673005
2, 7.867712715327797, 12.0317
3, 7.859646016930439, 18.2829946
4, 7.933524220556587, 15.4202724
5, 6.2985540082087885, 5.6111373
6, 10.536126540534434, 163.2217453
7, 10.382237532091551, 285.7186379
8, 6.67521004965114, 9.0124706
9, 7.9188326901976795, 10.7568171
10, 10.428380630284762, 166.8661144
